Country Name,Country ISO3,Year,Indicator Name,Indicator Code,Value
#country+name,#country+code,#date+year,#indicator+name,#indicator+code,#indicator+value+num
Cyprus,CYP,2024,Trade in services (% of GDP),BG.GSR.NFSV.GD.ZS,145.126401283422
Cyprus,CYP,2023,Trade in services (% of GDP),BG.GSR.NFSV.GD.ZS,141.723609189032
Cyprus,CYP,2022,Trade in services (% of GDP),BG.GSR.NFSV.GD.ZS,153.331139314262
Cyprus,CYP,2021,Trade in services (% of GDP),BG.GSR.NFSV.GD.ZS,130.478631448164
Cyprus,CYP,2020,Trade in services (% of GDP),BG.GSR.NFSV.GD.ZS,115.454622684938
Cyprus,CYP,2019,Trade in services (% of GDP),BG.GSR.NFSV.GD.ZS,104.315489990008
Cyprus,CYP,2018,Trade in services (% of GDP),BG.GSR.NFSV.GD.ZS,92.7001895387846
Cyprus,CYP,2017,Trade in services (% of GDP),BG.GSR.NFSV.GD.ZS,96.7317521850336
Cyprus,CYP,2016,Trade in services (% of GDP),BG.GSR.NFSV.GD.ZS,89.7408519579178
Cyprus,CYP,2015,Trade in services (% of GDP),BG.GSR.NFSV.GD.ZS,87.0916869620977
Cyprus,CYP,2014,Trade in services (% of GDP),BG.GSR.NFSV.GD.ZS,81.3101112840234
Cyprus,CYP,2013,Trade in services (% of GDP),BG.GSR.NFSV.GD.ZS,73.2254058814409
Cyprus,CYP,2012,Trade in services (% of GDP),BG.GSR.NFSV.GD.ZS,61.6552811249822
Cyprus,CYP,2011,Trade in services (% of GDP),BG.GSR.NFSV.GD.ZS,58.7604256833756
Cyprus,CYP,2010,Trade in services (% of GDP),BG.GSR.NFSV.GD.ZS,57.1397492315865
Cyprus,CYP,2009,Trade in services (% of GDP),BG.GSR.NFSV.GD.ZS,55.1060188850943
Cyprus,CYP,2008,Trade in services (% of GDP),BG.GSR.NFSV.GD.ZS,59.04878905569
Cyprus,CYP,2007,Trade in services (% of GDP),BG.GSR.NFSV.GD.ZS,50.3594874093986
Cyprus,CYP,2006,Trade in services (% of GDP),BG.GSR.NFSV.GD.ZS,47.6002481589448
Cyprus,CYP,2005,Trade in services (% of GDP),BG.GSR.NFSV.GD.ZS,47.2677430500244
Cyprus,CYP,2004,Trade in services (% of GDP),BG.GSR.NFSV.GD.ZS,48.9932207224399
Cyprus,CYP,2003,Trade in services (% of GDP),BG.GSR.NFSV.GD.ZS,50.8356304923527
Cyprus,CYP,2002,Trade in services (% of GDP),BG.GSR.NFSV.GD.ZS,53.7815915121284
Cyprus,CYP,2001,Trade in services (% of GDP),BG.GSR.NFSV.GD.ZS,57.2678254799661
Cyprus,CYP,2000,Trade in services (% of GDP),BG.GSR.NFSV.GD.ZS,56.613678514835
Cyprus,CYP,1999,Trade in services (% of GDP),BG.GSR.NFSV.GD.ZS,52.4543330415946
Cyprus,CYP,1998,Trade in services (% of GDP),BG.GSR.NFSV.GD.ZS,49.6881758436891
Cyprus,CYP,1997,Trade in services (% of GDP),BG.GSR.NFSV.GD.ZS,49.2958725609474
Cyprus,CYP,1996,Trade in services (% of GDP),BG.GSR.NFSV.GD.ZS,47.114075969721
Cyprus,CYP,1995,Trade in services (% of GDP),BG.GSR.NFSV.GD.ZS,47.2190225912983
Cyprus,CYP,1994,Trade in services (% of GDP),BG.GSR.NFSV.GD.ZS,47.2520919108418
Cyprus,CYP,1993,Trade in services (% of GDP),BG.GSR.NFSV.GD.ZS,47.040235444067
Cyprus,CYP,1992,Trade in services (% of GDP),BG.GSR.NFSV.GD.ZS,49.2671008597053
Cyprus,CYP,1991,Trade in services (% of GDP),BG.GSR.NFSV.GD.ZS,44.8197714311556
Cyprus,CYP,1990,Trade in services (% of GDP),BG.GSR.NFSV.GD.ZS,47.8879993671771
Cyprus,CYP,1989,Trade in services (% of GDP),BG.GSR.NFSV.GD.ZS,47.7181542263245
Cyprus,CYP,1988,Trade in services (% of GDP),BG.GSR.NFSV.GD.ZS,44.7158381122974
Cyprus,CYP,1987,Trade in services (% of GDP),BG.GSR.NFSV.GD.ZS,43.9694647036925
Cyprus,CYP,1986,Trade in services (% of GDP),BG.GSR.NFSV.GD.ZS,41.8372762545178
Cyprus,CYP,1985,Trade in services (% of GDP),BG.GSR.NFSV.GD.ZS,42.7941629217695
Cyprus,CYP,1984,Trade in services (% of GDP),BG.GSR.NFSV.GD.ZS,43.9839337259648
Cyprus,CYP,1983,Trade in services (% of GDP),BG.GSR.NFSV.GD.ZS,42.3560548779455
Cyprus,CYP,1982,Trade in services (% of GDP),BG.GSR.NFSV.GD.ZS,40.3712364952677
Cyprus,CYP,1981,Trade in services (% of GDP),BG.GSR.NFSV.GD.ZS,38.3297163938651
Cyprus,CYP,1980,Trade in services (% of GDP),BG.GSR.NFSV.GD.ZS,34.7890920502042
Cyprus,CYP,1979,Trade in services (% of GDP),BG.GSR.NFSV.GD.ZS,46.4126798927143
Cyprus,CYP,1978,Trade in services (% of GDP),BG.GSR.NFSV.GD.ZS,44.4073866713547
Cyprus,CYP,1977,Trade in services (% of GDP),BG.GSR.NFSV.GD.ZS,47.6462358009903
Cyprus,CYP,1976,Trade in services (% of GDP),BG.GSR.NFSV.GD.ZS,49.8979853773333
Cyprus,CYP,2024,"Communications, computer, etc. (% of service imports, BoP)",BM.GSR.CMCP.ZS,54.1876994244219
Cyprus,CYP,2023,"Communications, computer, etc. (% of service imports, BoP)",BM.GSR.CMCP.ZS,53.4457537247176
Cyprus,CYP,2022,"Communications, computer, etc. (% of service imports, BoP)",BM.GSR.CMCP.ZS,49.5877361817103
Cyprus,CYP,2021,"Communications, computer, etc. (% of service imports, BoP)",BM.GSR.CMCP.ZS,51.9694457056955
Cyprus,CYP,2020,"Communications, computer, etc. (% of service imports, BoP)",BM.GSR.CMCP.ZS,45.3945420464247
Cyprus,CYP,2019,"Communications, computer, etc. (% of service imports, BoP)",BM.GSR.CMCP.ZS,34.5827127545332
Cyprus,CYP,2018,"Communications, computer, etc. (% of service imports, BoP)",BM.GSR.CMCP.ZS,30.299540952887
Cyprus,CYP,2017,"Communications, computer, etc. (% of service imports, BoP)",BM.GSR.CMCP.ZS,32.9890143202374
Cyprus,CYP,2016,"Communications, computer, etc. (% of service imports, BoP)",BM.GSR.CMCP.ZS,28.0421130269753
Cyprus,CYP,2015,"Communications, computer, etc. (% of service imports, BoP)",BM.GSR.CMCP.ZS,32.0817594721257
Cyprus,CYP,2014,"Communications, computer, etc. (% of service imports, BoP)",BM.GSR.CMCP.ZS,29.9037640358194
Cyprus,CYP,2013,"Communications, computer, etc. (% of service imports, BoP)",BM.GSR.CMCP.ZS,35.7403903165948
Cyprus,CYP,2012,"Communications, computer, etc. (% of service imports, BoP)",BM.GSR.CMCP.ZS,30.4641802878179
Cyprus,CYP,2011,"Communications, computer, etc. (% of service imports, BoP)",BM.GSR.CMCP.ZS,26.9846026010639
Cyprus,CYP,2010,"Communications, computer, etc. (% of service imports, BoP)",BM.GSR.CMCP.ZS,20.9651276571656
Cyprus,CYP,2009,"Communications, computer, etc. (% of service imports, BoP)",BM.GSR.CMCP.ZS,19.4474796452972
Cyprus,CYP,2008,"Communications, computer, etc. (% of service imports, BoP)",BM.GSR.CMCP.ZS,20.2125782494026
Cyprus,CYP,2007,"Communications, computer, etc. (% of service imports, BoP)",BM.GSR.CMCP.ZS,26.0864559189933
Cyprus,CYP,2006,"Communications, computer, etc. (% of service imports, BoP)",BM.GSR.CMCP.ZS,28.0192616835977
Cyprus,CYP,2005,"Communications, computer, etc. (% of service imports, BoP)",BM.GSR.CMCP.ZS,24.3017132740558
Cyprus,CYP,2004,"Communications, computer, etc. (% of service imports, BoP)",BM.GSR.CMCP.ZS,23.110311875462
Cyprus,CYP,2003,"Communications, computer, etc. (% of service imports, BoP)",BM.GSR.CMCP.ZS,25.7921270086145
Cyprus,CYP,2002,"Communications, computer, etc. (% of service imports, BoP)",BM.GSR.CMCP.ZS,22.3457741629039
Cyprus,CYP,2001,"Communications, computer, etc. (% of service imports, BoP)",BM.GSR.CMCP.ZS,14.6108345832524
Cyprus,CYP,2000,"Communications, computer, etc. (% of service imports, BoP)",BM.GSR.CMCP.ZS,13.7022397891963
Cyprus,CYP,1999,"Communications, computer, etc. (% of service imports, BoP)",BM.GSR.CMCP.ZS,13.6632026452527
Cyprus,CYP,1998,"Communications, computer, etc. (% of service imports, BoP)",BM.GSR.CMCP.ZS,12.3791102514507
Cyprus,CYP,1997,"Communications, computer, etc. (% of service imports, BoP)",BM.GSR.CMCP.ZS,11.7945157931274
Cyprus,CYP,1996,"Communications, computer, etc. (% of service imports, BoP)",BM.GSR.CMCP.ZS,10.3474550441938
Cyprus,CYP,1995,"Communications, computer, etc. (% of service imports, BoP)",BM.GSR.CMCP.ZS,7.89695234888028
Cyprus,CYP,1994,"Communications, computer, etc. (% of service imports, BoP)",BM.GSR.CMCP.ZS,11.7841150129625
Cyprus,CYP,1993,"Communications, computer, etc. (% of service imports, BoP)",BM.GSR.CMCP.ZS,11.9053876478318
Cyprus,CYP,1992,"Communications, computer, etc. (% of service imports, BoP)",BM.GSR.CMCP.ZS,11.4242576748868
Cyprus,CYP,1991,"Communications, computer, etc. (% of service imports, BoP)",BM.GSR.CMCP.ZS,11.9905493207324
Cyprus,CYP,1990,"Communications, computer, etc. (% of service imports, BoP)",BM.GSR.CMCP.ZS,11.5970197602851
Cyprus,CYP,1989,"Communications, computer, etc. (% of service imports, BoP)",BM.GSR.CMCP.ZS,11.6817359855335
Cyprus,CYP,1988,"Communications, computer, etc. (% of service imports, BoP)",BM.GSR.CMCP.ZS,11.8752669799231
