Country Name,Year,Indicator Name,Value
Cyprus,2024,"Communications, computer, etc. (% of service imports, BoP)",54.18769942
Cyprus,2023,"Communications, computer, etc. (% of service imports, BoP)",53.44575372
Cyprus,2022,"Communications, computer, etc. (% of service imports, BoP)",49.58773618
Cyprus,2021,"Communications, computer, etc. (% of service imports, BoP)",51.96944571
Cyprus,2020,"Communications, computer, etc. (% of service imports, BoP)",45.39454205
Cyprus,2019,"Communications, computer, etc. (% of service imports, BoP)",34.58271275
Cyprus,2018,"Communications, computer, etc. (% of service imports, BoP)",30.29954095
Cyprus,2017,"Communications, computer, etc. (% of service imports, BoP)",32.98901432
Cyprus,2016,"Communications, computer, etc. (% of service imports, BoP)",28.04211303
Cyprus,2015,"Communications, computer, etc. (% of service imports, BoP)",32.08175947
Cyprus,2014,"Communications, computer, etc. (% of service imports, BoP)",29.90376404
Cyprus,2013,"Communications, computer, etc. (% of service imports, BoP)",35.74039032
Cyprus,2012,"Communications, computer, etc. (% of service imports, BoP)",30.46418029
Cyprus,2011,"Communications, computer, etc. (% of service imports, BoP)",26.9846026
Cyprus,2010,"Communications, computer, etc. (% of service imports, BoP)",20.96512766
Cyprus,2009,"Communications, computer, etc. (% of service imports, BoP)",19.44747965
Cyprus,2008,"Communications, computer, etc. (% of service imports, BoP)",20.21257825
Cyprus,2007,"Communications, computer, etc. (% of service imports, BoP)",26.08645592
Cyprus,2006,"Communications, computer, etc. (% of service imports, BoP)",28.01926168
Cyprus,2005,"Communications, computer, etc. (% of service imports, BoP)",24.30171327
Cyprus,2004,"Communications, computer, etc. (% of service imports, BoP)",23.11031188
Cyprus,2003,"Communications, computer, etc. (% of service imports, BoP)",25.79212701
Cyprus,2002,"Communications, computer, etc. (% of service imports, BoP)",22.34577416
Cyprus,2001,"Communications, computer, etc. (% of service imports, BoP)",14.61083458
Cyprus,2000,"Communications, computer, etc. (% of service imports, BoP)",13.70223979
Cyprus,1999,"Communications, computer, etc. (% of service imports, BoP)",13.66320265
Cyprus,1998,"Communications, computer, etc. (% of service imports, BoP)",12.37911025
Cyprus,1997,"Communications, computer, etc. (% of service imports, BoP)",11.79451579
Cyprus,1996,"Communications, computer, etc. (% of service imports, BoP)",10.34745504
Cyprus,1995,"Communications, computer, etc. (% of service imports, BoP)",7.896952349
Cyprus,1994,"Communications, computer, etc. (% of service imports, BoP)",11.78411501
Cyprus,1993,"Communications, computer, etc. (% of service imports, BoP)",11.90538765
Cyprus,1992,"Communications, computer, etc. (% of service imports, BoP)",11.42425767
Cyprus,1991,"Communications, computer, etc. (% of service imports, BoP)",11.99054932
Cyprus,1990,"Communications, computer, etc. (% of service imports, BoP)",11.59701976
Cyprus,1989,"Communications, computer, etc. (% of service imports, BoP)",11.68173599
Cyprus,1988,"Communications, computer, etc. (% of service imports, BoP)",11.87526698
Cyprus,1987,"Communications, computer, etc. (% of service imports, BoP)",13.43072573
Cyprus,1986,"Communications, computer, etc. (% of service imports, BoP)",11.75830158
Cyprus,1985,"Communications, computer, etc. (% of service imports, BoP)",12.33766234
Cyprus,1984,"Communications, computer, etc. (% of service imports, BoP)",13.74434389
Cyprus,1983,"Communications, computer, etc. (% of service imports, BoP)",13.26732673
Cyprus,1982,"Communications, computer, etc. (% of service imports, BoP)",13.42857143
Cyprus,1981,"Communications, computer, etc. (% of service imports, BoP)",13.70338248
Cyprus,1980,"Communications, computer, etc. (% of service imports, BoP)",12.16931217
Cyprus,1979,"Communications, computer, etc. (% of service imports, BoP)",12.43781095
Cyprus,1978,"Communications, computer, etc. (% of service imports, BoP)",11.37440758
Cyprus,1977,"Communications, computer, etc. (% of service imports, BoP)",13.65187713
Cyprus,1976,"Communications, computer, etc. (% of service imports, BoP)",11.79039301
